Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0.000000,-2.3800000,-2.8080000,0.7320000,0.0030000,0.0120000,0.9950000,8.10000,-1.00000,-28.40000
0.029455,-2.3190000,-2.6860000,0.6100000,0.0030000,0.0120000,0.9970000,8.10000,-1.00000,-28.30000
0.077945,-2.3190000,-2.6860000,0.6710000,0.0040000,0.0120000,0.9960000,8.00000,-0.90000,-28.40000
0.128011,-2.3190000,-2.6250000,0.6710000,0.0020000,0.0130000,0.9960000,8.00000,-1.10000,-28.30000
0.180581,-2.3800000,-2.8080000,0.6710000,0.0030000,0.0130000,0.9950000,8.00000,-0.90000,-28.40000
0.227651,-2.3800000,-2.6860000,0.6710000,0.0030000,0.0120000,0.9960000,8.00000,-0.80000,-28.30000
0.277391,-2.3800000,-2.7470000,0.6710000,0.0030000,0.0120000,0.9960000,8.10000,-0.80000,-28.30000
0.327390,-2.4410000,-2.7470000,0.6710000,0.0020000,0.0120000,0.9960000,7.90000,-1.00000,-28.30000
0.382224,-2.3800000,-2.7470000,0.6710000,0.0030000,0.0120000,0.9970000,8.10000,-0.80000,-28.20000
0.427016,-2.3800000,-2.8080000,0.6100000,0.0030000,0.0120000,0.9960000,8.00000,-0.90000,-28.30000
0.478136,-2.3800000,-2.6860000,0.7320000,0.0030000,0.0110000,0.9960000,8.10000,-0.90000,-28.20000
0.535149,-2.3190000,-2.6860000,0.6100000,0.0030000,0.0120000,0.9960000,8.00000,-1.00000,-28.40000
0.578974,-2.7470000,-2.9910000,0.6710000,0.0020000,0.0130000,0.9970000,8.10000,-0.90000,-28.40000
0.626309,-1.5260000,-2.2580000,0.7320000,0.0030000,0.0120000,0.9970000,8.10000,-0.90000,-28.40000
0.676175,-2.3800000,-2.7470000,0.6710000,0.0030000,0.0120000,0.9970000,8.10000,-1.10000,-28.40000
0.729483,-2.3190000,-2.6860000,0.6710000,0.0040000,0.0120000,0.9950000,8.10000,-1.10000,-28.50000
0.779339,-2.3800000,-2.7470000,0.6710000,0.0030000,0.0120000,0.9970000,8.10000,-1.10000,-28.30000
0.826492,-2.3190000,-2.6860000,0.7320000,0.0020000,0.0130000,0.9950000,8.00000,-1.00000,-28.40000
0.875703,-2.3800000,-2.6860000,0.6100000,0.0030000,0.0120000,0.9960000,8.10000,-1.00000,-28.40000
0.925696,-2.3190000,-2.8080000,0.6100000,0.0030000,0.0120000,0.9950000,8.10000,-1.10000,-28.40000
0.979672,-2.3800000,-2.8080000,0.6710000,0.0030000,0.0120000,0.9960000,8.30000,-0.70000,-28.00000
1.029663,-2.3800000,-2.7470000,0.6710000,0.0030000,0.0120000,0.9960000,8.10000,-0.80000,-28.20000
1.078101,-2.3800000,-2.8080000,0.6710000,0.0040000,0.0120000,0.9960000,8.10000,-1.00000,-28.10000
1.124982,-2.4410000,-2.8080000,0.6710000,0.0040000,0.0120000,0.9960000,8.00000,-1.10000,-28.20000
1.174742,-2.4410000,-2.8690000,0.6710000,0.0020000,0.0120000,0.9960000,8.10000,-0.90000,-28.30000
1.224771,-2.3800000,-2.8080000,0.6710000,0.0040000,0.0120000,0.9960000,8.10000,-0.90000,-28.20000
1.276715,-2.4410000,-2.7470000,0.6100000,0.0040000,0.0120000,0.9970000,8.10000,-1.00000,-28.20000
1.325950,-2.3800000,-2.6860000,0.6710000,0.0030000,0.0120000,0.9960000,8.00000,-1.10000,-28.40000
1.374043,-2.3190000,-2.7470000,0.6710000,0.0030000,0.0120000,0.9960000,8.10000,-1.10000,-28.30000
1.432018,-2.3800000,-2.8080000,0.6710000,0.0030000,0.0120000,0.9960000,8.00000,-1.00000,-28.30000
1.473904,-2.4410000,-2.7470000,0.6710000,0.0040000,0.0120000,0.9960000,8.10000,-0.90000,-28.40000
1.526938,-2.3800000,-2.8080000,0.6710000,0.0030000,0.0120000,0.9960000,8.20000,-1.00000,-28.40000
1.573507,-2.3800000,-2.8080000,0.6710000,0.0030000,0.0120000,0.9960000,8.20000,-0.90000,-28.30000
1.625629,-2.3800000,-2.7470000,0.7320000,0.0040000,0.0130000,0.9960000,8.10000,-0.90000,-28.30000
1.694125,-0.0000000,-0.0000000,0.0000000,0.0040000,0.0110000,0.9950000,8.20000,-0.80000,-28.30000
1.743971,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0130000,0.9950000,8.20000,-0.90000,-28.30000
1.795403,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0110000,0.9960000,8.00000,-0.90000,-28.30000
1.853192,-0.0610000,-0.1830000,0.0000000,0.0020000,0.0140000,0.9970000,8.10000,-0.90000,-28.40000
1.930210,-0.0000000,0.0610000,0.0000000,0.0020000,0.0120000,0.9960000,8.10000,-1.10000,-28.30000
1.943718,0.0610000,0.0610000,0.0000000,0.0030000,0.0130000,0.9960000,8.10000,-1.00000,-28.10000
1.993216,-0.0610000,-0.0000000,0.0000000,0.0020000,0.0130000,0.9950000,8.00000,-0.80000,-28.10000
2.044990,-0.0000000,-0.0610000,0.0610000,0.0030000,0.0130000,0.9950000,8.00000,-1.00000,-28.30000
2.092942,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9960000,8.00000,-0.90000,-28.40000
2.144315,-1.0380000,-0.5490000,-66.7720000,0.0050000,0.0460000,0.9890000,8.10000,-0.80000,-28.30000
2.205379,0.3050000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9950000,8.00000,-0.80000,-28.30000
2.246082,-0.0000000,0.0610000,0.0000000,0.0030000,0.0120000,0.9960000,8.10000,-0.80000,-28.40000
2.306063,0.0610000,0.1220000,0.0000000,0.0030000,0.0130000,0.9960000,8.10000,-0.80000,-28.30000
2.342579,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0130000,0.9960000,8.20000,-0.80000,-28.30000
2.392005,-0.0000000,-0.0000000,0.0000000,0.0020000,0.0100000,0.9950000,7.90000,-0.80000,-28.20000
2.443900,-0.1220000,-0.0610000,-12.1460000,0.0130000,0.0200000,0.9940000,8.00000,-0.70000,-28.30000
2.491645,-0.0000000,-0.0000000,0.1220000,0.0020000,0.0130000,0.9950000,8.30000,-0.60000,-28.20000
2.542172,-0.0000000,0.1220000,0.1220000,0.0020000,0.0120000,0.9960000,8.30000,-0.60000,-28.40000
2.595197,0.1220000,0.5490000,0.1220000,0.0040000,0.0130000,0.9970000,8.40000,-0.60000,-28.20000
2.643115,0.1830000,0.1220000,0.0610000,0.0070000,0.0050000,0.9950000,8.20000,-0.50000,-28.40000
2.691296,-0.0610000,-0.0000000,0.0610000,0.0030000,0.0110000,0.9950000,8.30000,-0.50000,-28.50000
2.746317,-0.0000000,-0.0000000,0.0610000,0.0030000,0.0120000,0.9960000,8.20000,-0.60000,-28.50000
2.790924,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9950000,8.10000,-0.50000,-28.30000
2.842593,-0.0000000,-0.0000000,0.0000000,0.0030000,0.0120000,0.9960000,8.00000,-0.50000,-28.40000
