Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0.000000,-2.2580000,-2.6250000,0.6710000,0.0010000,-0.0110000,0.9970000,0.20000,4.40000,-10.40000
0.049271,-2.2580000,-2.5630000,0.6710000,0.0010000,-0.0120000,1.0000000,0.10000,4.40000,-10.40000
0.099013,-2.2580000,-2.6250000,0.6710000,-0.0000000,-0.0100000,0.9980000,0.10000,4.50000,-10.50000
0.149329,-2.1970000,-2.6860000,0.6710000,0.0010000,-0.0110000,0.9970000,0.10000,4.40000,-10.50000
0.198604,-2.1970000,-2.6250000,0.6710000,-0.0000000,-0.0100000,0.9990000,0.20000,4.40000,-10.60000
0.248964,-2.2580000,-2.5630000,0.6710000,-0.0000000,-0.0100000,0.9990000,0.30000,4.50000,-10.50000
0.298792,-2.1970000,-2.6250000,0.6100000,-0.0000000,-0.0100000,0.9980000,0.30000,4.50000,-10.50000
0.348154,-2.1970000,-2.6250000,0.6710000,-0.0000000,-0.0090000,0.9980000,0.20000,4.50000,-10.40000
0.398093,-2.2580000,-2.6250000,0.6100000,-0.0000000,-0.0100000,0.9970000,0.30000,4.40000,-10.60000
0.448528,-2.2580000,-2.6250000,0.6710000,0.0000000,-0.0110000,0.9960000,0.10000,4.50000,-10.30000
0.497549,-2.2580000,-2.6250000,0.6710000,-0.0000000,-0.0100000,0.9980000,0.20000,4.40000,-10.50000
0.550709,-2.2580000,-2.6250000,0.6710000,-0.0000000,-0.0100000,0.9980000,0.20000,4.50000,-10.40000
0.598297,-2.2580000,-2.6250000,0.6100000,-0.0000000,-0.0090000,0.9980000,0.20000,4.50000,-10.40000
0.647660,-2.2580000,-2.6250000,0.6710000,-0.0000000,-0.0110000,0.9980000,0.00000,4.50000,-10.40000
0.697579,-2.2580000,-2.6250000,0.6710000,0.0000000,-0.0100000,0.9980000,0.10000,4.50000,-10.60000
0.747843,-2.3190000,-2.5630000,0.5490000,0.0000000,-0.0100000,0.9970000,0.10000,4.40000,-10.40000
0.796947,-2.2580000,-2.5630000,0.6100000,-0.0000000,-0.0110000,0.9990000,0.10000,4.40000,-10.50000
0.847198,-2.2580000,-2.6250000,0.6100000,-0.0010000,-0.0110000,0.9980000,0.10000,4.30000,-10.50000
0.896847,-2.2580000,-2.6250000,0.6710000,-0.0000000,-0.0100000,1.0000000,0.20000,4.40000,-10.50000
0.967717,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0100000,0.9970000,0.10000,4.40000,-10.60000
1.017343,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0100000,0.9970000,0.10000,4.40000,-10.50000
1.067280,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9980000,0.10000,4.40000,-10.50000
1.117154,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9990000,0.10000,4.50000,-10.60000
1.166806,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.20000,4.50000,-10.50000
